timestamp,real_power
2026-04-04 12:24:28,473.35
2026-04-04 12:39:28,488.33
2026-04-04 12:54:28,500.04
2026-04-04 13:09:28,501.59
2026-04-04 13:24:28,454.16
2026-04-04 13:39:28,515.66
2026-04-04 13:54:28,479.83
2026-04-04 14:09:28,489.93
2026-04-04 14:24:28,508.96
2026-04-04 14:39:28,465.81
2026-04-04 14:54:28,490.0
2026-04-04 15:09:28,512.03
2026-04-04 15:24:28,476.88
2026-04-04 15:39:28,488.57
2026-04-04 15:54:28,479.96
2026-04-04 16:09:28,488.07
2026-04-04 16:24:28,499.31
2026-04-04 16:39:28,498.93
2026-04-04 16:54:28,497.72
2026-04-04 17:09:28,488.48
2026-04-04 17:24:28,489.73
2026-04-04 17:39:28,481.57
2026-04-04 17:54:28,496.14
2026-04-04 18:09:28,943.97
2026-04-04 18:24:28,913.73
2026-04-04 18:39:28,923.24
2026-04-04 18:54:28,910.31
2026-04-04 19:09:28,933.14
2026-04-04 19:24:28,910.56
2026-04-04 19:39:28,921.71
2026-04-04 19:54:28,934.68
2026-04-04 20:09:28,927.78
2026-04-04 20:24:28,933.94
2026-04-04 20:39:28,941.97
2026-04-04 20:54:28,930.99
2026-04-04 21:09:28,926.45
2026-04-04 21:24:28,932.77
2026-04-04 21:39:28,908.74
2026-04-04 21:54:28,923.86
2026-04-04 22:09:28,941.18
2026-04-04 22:24:28,925.61
2026-04-04 22:39:28,894.93
2026-04-04 22:54:28,942.85
2026-04-04 23:09:28,493.95
2026-04-04 23:24:28,483.91
2026-04-04 23:39:28,522.53
2026-04-04 23:54:28,499.5
2026-04-05 00:09:28,476.71
2026-04-05 00:24:28,502.0
2026-04-05 00:39:28,457.43
2026-04-05 00:54:28,498.53
2026-04-05 01:09:28,515.84
2026-04-05 01:24:28,513.4
2026-04-05 01:39:28,483.34
2026-04-05 01:54:28,504.55
2026-04-05 02:09:28,474.28
2026-04-05 02:24:28,476.24
2026-04-05 02:39:28,527.01
2026-04-05 02:54:28,492.66
2026-04-05 03:09:28,517.92
2026-04-05 03:24:28,486.99
2026-04-05 03:39:28,512.19
2026-04-05 03:54:28,487.25
2026-04-05 04:09:28,480.25
2026-04-05 04:24:28,524.36
2026-04-05 04:39:28,520.83
2026-04-05 04:54:28,491.62
2026-04-05 05:09:28,501.47
2026-04-05 05:24:28,479.72
2026-04-05 05:39:28,470.38
2026-04-05 05:54:28,507.94
2026-04-05 06:09:28,503.62
2026-04-05 06:24:28,485.3
2026-04-05 06:39:28,481.46
2026-04-05 06:54:28,490.72
2026-04-05 07:09:28,483.14
2026-04-05 07:24:28,459.39
2026-04-05 07:39:28,481.29
2026-04-05 07:54:28,506.53
2026-04-05 08:09:28,506.23
2026-04-05 08:24:28,487.11
2026-04-05 08:39:28,497.0
2026-04-05 08:54:28,478.08
2026-04-05 09:09:28,490.67
2026-04-05 09:24:28,505.01
2026-04-05 09:39:28,491.84
2026-04-05 09:54:28,458.64
2026-04-05 10:09:28,470.14
2026-04-05 10:24:28,492.62
2026-04-05 10:39:28,494.0
2026-04-05 10:54:28,489.06
2026-04-05 11:09:28,486.21
2026-04-05 11:24:28,471.75
2026-04-05 11:39:28,506.82
2026-04-05 11:54:28,507.98
2026-04-05 12:09:28,505.04
2026-04-05 12:24:28,481.86
2026-04-05 12:39:28,497.52
2026-04-05 12:54:28,496.55
2026-04-05 13:09:28,474.99
2026-04-05 13:24:28,481.01
2026-04-05 13:39:28,487.91
2026-04-05 13:54:28,506.4
2026-04-05 14:09:28,483.8
2026-04-05 14:24:28,456.12
2026-04-05 14:39:28,499.3
2026-04-05 14:54:28,502.27
2026-04-05 15:09:28,471.16
2026-04-05 15:24:28,487.52
2026-04-05 15:39:28,501.88
2026-04-05 15:54:28,542.1
2026-04-05 16:09:28,494.67
2026-04-05 16:24:28,496.54
2026-04-05 16:39:28,487.59
2026-04-05 16:54:28,495.38
2026-04-05 17:09:28,484.14
2026-04-05 17:24:28,486.96
2026-04-05 17:39:28,501.27
2026-04-05 17:54:28,479.96
2026-04-05 18:09:28,929.93
2026-04-05 18:24:28,911.96
2026-04-05 18:39:28,904.18
2026-04-05 18:54:28,916.93
2026-04-05 19:09:28,920.03
2026-04-05 19:24:28,922.32
2026-04-05 19:39:28,909.88
2026-04-05 19:54:28,899.32
2026-04-05 20:09:28,942.78
2026-04-05 20:24:28,937.21
2026-04-05 20:39:28,928.54
2026-04-05 20:54:28,916.74
2026-04-05 21:09:28,919.28
